actor_id,actor_name
1,Jessica Wesson
2,Tim Rose
3,Virginia Capers
4,Nicholas Rowe
5,Devid Striesow
6,Jaqueline Fleming
7,Abbie Cornish
8,Daniel Cudmore
9,Bobby Batson
10,Philip Seymour Hoffman
11,Riki Lindhome
12,Tony Danza
13,Richard Epcar
14,Tony Curran
15,Kate Dollenmayer
16,Rory Kinnear
17,Bono
18,Leslie Hope
19,Felix Avitia
20,Diane Ladd
21,Honglei Sun
22,Joie Lee
23,Jamie Farr
24,Frank Vincent
25,Walter Masterson
26,Amrish Puri
27,Henry Czerny
28,Jamie Renée Smith
29,William Miller
30,Phoebe Legere
31,Enzo Petito
32,Boyd Holbrook
33,Barbie Castro
34,Ayelet Zurer
35,Tania Saulnier
36,Gigi Rice
37,Jim Henson
38,Jack McGee
39,Johnny Walter
40,Eliza Coupe
41,Veronica Ferres
42,Boman Irani
43,Eddie Vedder
44,David Bailie
45,Rachel Ticotin
46,Rudy Youngblood
47,Tod Fennell
48,Marie Féret
49,Judith O'Dea
50,Khamani Griffin
51,Bella Thorne
52,Jesse Moss
53,Owain Yeoman
54,Mark Valley
55,Don Pardo
56,June Carter Cash
57,Jessika Van
58,Stephen McCole
59,Cara Horgan
60,Marc Trottier
61,Albert Brooks
62,Michael Raymond-James
63,Tina Gilton
64,H.M. Wynant
65,Tadanobu Asano
66,Cyril Raffaelli
67,Prabhudheva
68,Carlos Gallardo
69,Felicity Huffman
70,Tom Hardy
71,Michael Palin
72,Melissa Ordway
73,Sylvia Syms
74,Ray Walston
75,Deneen Tyler
76,Ted de Corsia
77,Vanessa Matsui
78,Julie LeBreton
79,Jamie Kennedy
80,Kevin Michael Richardson
81,Laura Ramsey
82,Frances O'Connor
83,Laraine Day
84,Jack E. Curenton
85,Deems Taylor
86,Keeley Hawes
87,Dave Chappelle
88,Leos Carax
89,Agnes Bruckner
90,Gloria Reuben
91,Jenny Slate
92,Vincent Guastaferro
93,Jennifer Schwalbach Smith
94,Shin'ya Tsukamoto
95,Nicholas Hamilton
96,Nikola Djuricko
97,Richard Burton
98,Talulah Riley
99,Chulpan Khamatova
100,Qiu Yuen
101,Teryl Rothery
102,Damián Delgado
103,Chad L. Coleman
104,Michael Elian
105,Penny Balfour
106,Rob Moran
107,Jizelle Jade
108,Peter Serafinowicz
109,Kimberley Crossman
110,Jeff Bennett
111,Bryan Callen
112,Sara Gilbert
113,Michael Cerveris
114,John Sessions
115,Paul 'Pauly D' DelVecchio
116,Paul Brooke
117,Rene Auberjonois
118,Ashley Laurence
119,Susan Hogan
120,Vernon Wells
121,Dong-gun Jang
122,Eduardo Verástegui
123,Joe Flaherty
